Id,SalePrice
1461,112829.70743485262
1462,162396.44945413587
1463,181609.88013604257
1464,196361.8980267568
1465,189775.31398576937
1466,172580.13181719763
1467,178001.75864986016
1468,160947.83940044386
1469,191657.35950470986
1470,123971.90652842032
1471,184354.96774777534
1472,98906.7323488385
1473,96848.48122278429
1474,144560.3667912274
1475,108128.48058587438
1476,360501.3727463175
1477,251122.7617451619
1478,273520.0583188071
1479,272488.7935131389
1480,464871.37715658604
1481,326930.42250672914
1482,206548.46522000452
1483,181499.8547080357
1484,167899.64886064045
1485,182636.5176386721
1486,193036.73747245455
1487,339667.8621114213
1488,230230.06201948808
1489,193284.5513281876
1490,243276.41658868705
1491,197127.26922642958
1492,87476.85365257892
1493,178771.8188023086
1494,285032.4347585401
1495,281881.6137186132
1496,243963.91296289026
1497,175166.2942846393
1498,169593.03773987555
1499,162270.77679541588
1500,158855.5148926517
1501,187815.7219813732
1502,146771.66262991342
1503,283233.66077530396
1504,242082.50875381447
1505,227559.52433298674
1506,185942.49897539415
1507,257483.90770889755
1508,202198.9463152089
1509,159678.73068423115
1510,145103.39342492443
1511,154964.37646014302
1512,174190.37576854965
1513,146105.6615604931
1514,160152.0689746478
1515,192044.44375157205
1516,155125.32198510898
1517,169828.59854147673
1518,125529.31288847758
1519,224374.56192353994
1520,126954.07245523731
1521,131318.901787282
1522,171701.44932129295
1523,110843.7294680924
1524,122731.59064941443
1525,121739.58089001302
1526,110685.95171565507
1527,103908.70149777371
1528,131809.101034677
1529,152360.190128518
1530,190536.22266428705
1531,109722.33861978273
1532,92492.69151784306
1533,152616.5433877718
1534,121900.36244879664
1535,146048.0659468946
1536,106807.57686286396
1537,61319.50822991119
1538,159105.6849214053
1539,203081.2717456052
1540,94077.6801759933
1541,136223.7042892434
1542,142606.8822414416
1543,189515.97736895943
1544,85646.51661290196
1545,113790.45392874042
1546,132388.055483251
1547,134264.9921840291
1548,135154.9115908308
1549,118288.44412828275
1550,132745.0649913702
1551,104448.42870095337
1552,141883.49711124424
1553,150238.16579683553
1554,121086.57698708803
1555,158444.23260032097
1556,85132.48851032615
1557,100589.67755729429
1558,100942.4607384561
1559,68186.99487276764
1560,124512.37863490166
1561,135203.0424219182
1562,127968.6748134323
1563,119849.95716215941
1564,156106.4005646912
1565,141139.25995718085
1566,232143.88329911281
1567,75700.21239811032
1568,237333.22740192548
1569,131113.8171824199
1570,133250.3662687997
1571,114082.72798031106
1572,141789.23016412588
1573,236621.81835707015
1574,123615.6922661537
1575,229258.68633644917
1576,255299.51874162833
1577,180879.4044112785
1578,144237.90105566225
1579,145741.26353025145
1580,190530.8182215872
1581,150099.31392423913
1582,123754.73946788369
1583,289728.8441079827
1584,221834.76139201983
1585,140816.4921822844
1586,71181.99767769125
1587,98954.95056256882
1588,149321.0778152571
1589,97647.42271038395
1590,134367.75919282978
